RWC,S1bmean,S1bstd,S1gmean,S1gstd,S1rmean,S1rstd,S2bmean,S2bstd,S2gmean,S2gstd,S2rmean,S2rstd
97.213,0.54091435,0.421842855,0.005011242,0.319396492,0.287469968,0.398460926,0.275434803,0.321701796,0.245354575,0.235279169,0.261970762,0.286574009
97.7916,0.376910515,0.487178218,-0.106974179,0.317593133,0.072278104,0.435906289,0.219198196,0.342764243,0.239738597,0.262018227,0.245729867,0.321099824
97.6573,0.084148608,0.479227623,-0.128280084,0.260672304,-0.063780196,0.308830854,0.138745953,0.283517396,0.090548648,0.108578659,0.09850748,0.152865395
98.5187,0.185234745,0.498081241,-0.22801583,0.364972678,-0.08906471,0.426543079,0.069889473,0.272168678,0.110228905,0.192700261,0.088272116,0.243217631
98.4411,0.086171522,0.327356798,-0.266876052,0.41612723,-0.116979968,0.353973113,0.066663439,0.217390247,0.118076438,0.227319605,0.091035111,0.20889659
98.4379,0.243217729,0.343772527,-0.140476872,0.309064616,-0.009643346,0.277708589,0.22846565,0.249865396,0.210471654,0.206664396,0.200161198,0.207392646
99.3005,0.467398475,0.360384548,-0.0012361,0.176643872,0.185095685,0.231349574,0.339709447,0.34779743,0.013615394,0.137609603,0.154792078,0.243842321
99.3056,0.174881613,0.203745261,-0.117913182,0.199449364,0.008608574,0.174581408,0.39562168,0.329878685,0.087696258,0.131922593,0.242536478,0.230185794
98.7441,0.399451228,0.344134859,-0.071036079,0.266739475,0.081984601,0.265002584,0.387147414,0.390144949,0.050372086,0.208551728,0.222634998,0.321650978
98.9893,0.16434279,0.260277268,-0.215230801,0.281588151,-0.091814512,0.265560155,0.284821103,0.337555003,-0.008043297,0.183917814,0.12711432,0.219544432
98.0198,0.30825969,0.38783812,-0.258619604,0.423933852,0.009164865,0.428510992,0.243296925,0.376454738,-0.213021383,0.433202795,0.061592826,0.35361732
98.2925,0.305687499,0.356455327,-0.120670198,0.278152355,0.010038198,0.296716519,0.396371549,0.382031597,0.085028559,0.243608893,0.265766004,0.347426337